,video_number,url,start_min,start_sec,end_min,end_sec
68,247,https://www.youtube.com/watch?v=Hk1ZiS0M2gU,0.0,0.0,2.0,33.0
69,267,https://youtu.be/cMvPOpFDlf4,0.0,20.0,1.0,0.0
70,268,https://youtu.be/-kr0fDBNHKs,0.0,5.0,0.0,35.0
71,269,https://youtu.be/bvGHU7qAqgs,0.0,0.0,0.0,15.0
72,274,https://www.youtube.com/watch?v=FIAluWM9HYM,0.0,0.0,0.0,20.0
73,276,https://www.youtube.com/watch?v=FIAluWM9HYM,0.0,53.0,1.0,15.0
74,277,https://www.youtube.com/watch?v=KVgqYgfZxHE,1.0,0.0,1.0,18.0
75,280,https://www.youtube.com/watch?v=XgbYWlY7XiA,1.0,0.0,1.0,15.0
76,282,https://www.youtube.com/watch?v=euyXdpT5D-s,1.0,4.0,1.0,53.0
77,283,https://www.youtube.com/watch?v=2-qT--mHx_8,0.0,0.0,0.0,33.0
78,284,https://www.youtube.com/watch?v=ymsweZ0Vlwo,0.0,0.0,0.0,34.0
79,285,https://www.youtube.com/watch?v=rdwNOhDbcpQ,0.0,0.0,0.0,24.0
80,286,https://www.youtube.com/watch?v=n0MXGLcNzY8,0.0,0.0,0.0,20.0
81,287,https://www.youtube.com/watch?v=hEQlP3JIUOw,0.0,0.0,0.0,37.0
82,288,https://www.youtube.com/watch?v=ikQNpBYsXRU,0.0,30.0,0.0,57.0
83,290,https://www.youtube.com/watch?v=D4m_FaB9rgk,0.0,0.0,0.0,26.0
84,291,https://www.youtube.com/watch?v=Ik8VKZKLLjk,0.0,0.0,0.0,24.0
85,295,https://www.youtube.com/watch?v=BalBKHdKgG8,0.0,0.0,0.0,37.0
86,296,https://www.youtube.com/watch?v=6KMpECJURo4,0.0,0.0,2.0,43.0
87,301,https://www.youtube.com/watch?v=6ohA6cVuvKM,0.0,0.0,1.0,1.0
88,302,https://www.youtube.com/watch?v=7cDUptBQKB4,0.0,0.0,0.0,54.0
89,303,https://www.youtube.com/watch?v=NSr-I7Ef5Hs,0.0,0.0,0.0,45.0
90,304,https://www.youtube.com/watch?v=9qcudSiuaFM,0.0,13.0,1.0,8.0
91,310,https://www.youtube.com/watch?v=Up0A4uoyTFw,1.0,25.0,1.0,36.0
92,311,https://www.youtube.com/watch?v=O8rzXOKrPxw,0.0,0.0,0.0,32.0
93,313,https://www.youtube.com/watch?v=eRmwGkL9_aA,0.0,16.0,0.0,30.0
94,314,https://www.youtube.com/watch?v=DFedgXUizlM,0.0,0.0,1.0,12.0
95,315,https://www.youtube.com/watch?v=dtEjZmOcu08,0.0,49.0,1.0,1.0
96,316,https://www.youtube.com/watch?v=2oW7fEWkL3A,1.0,45.0,3.0,50.0
97,318,https://www.youtube.com/watch?v=lf7w8aPBREs,0.0,29.0,0.0,39.0
98,319,https://www.youtube.com/watch?v=r8G4v7IUW7g,0.0,42.0,1.0,9.0
99,321,https://www.youtube.com/watch?v=1f8_GT0_44M,0.0,0.0,0.0,30.0
100,322,https://www.youtube.com/watch?v=kI9n00reJwM,0.0,0.0,0.0,44.0
101,331,https://www.youtube.com/watch?v=zUia8s0jtH4,0.0,0.0,10.0,22.0
102,332,https://www.youtube.com/watch?v=v5PIhOIO_i4,0.0,0.0,1.0,10.0
